date,location,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
2021-01-12,Arizona,141355.0,563025.0,95141.0,0.11,1.94,8343.0,1.31,7.74,,,,0.251
2021-01-13,Arizona,154745.0,569525.0,104387.0,0.17,2.13,12392.0,1.43,7.82,13390.0,13390.0,1840.0,0.272
2021-01-14,Arizona,173665.0,570625.0,157397.0,,2.39,,2.16,7.84,18920.0,16155.0,2219.0,0.304
2021-01-15,Arizona,197086.0,571725.0,176213.0,0.29,2.71,20837.0,2.42,7.85,23421.0,18577.0,2552.0,0.345
2021-01-16,Arizona,,,,,,,,,17297.5,18257.0,2508.0,
2021-01-17,Arizona,,,,,,,,,17297.5,18065.0,2482.0,
2021-01-18,Arizona,,,,,,,,,17297.5,17937.0,2464.0,
2021-01-19,Arizona,266276.0,571725.0,235331.0,0.42,3.66,30892.0,3.23,7.85,17297.5,17846.0,2452.0,0.466
2021-01-20,Arizona,281887.0,752250.0,246960.0,0.48,3.87,34788.0,3.39,10.33,15611.0,18163.0,2495.0,0.375
2021-01-21,Arizona,303899.0,797550.0,262120.0,0.57,4.18,41613.0,3.6,10.96,22012.0,18605.0,2556.0,0.381
2021-01-22,Arizona,329349.0,822050.0,280227.0,0.67,4.52,48938.0,3.85,11.29,25450.0,18895.0,2596.0,0.401
2021-01-23,Arizona,360958.0,829500.0,305744.0,0.76,4.96,55014.0,4.2,11.4,31609.0,20939.0,2877.0,0.435
2021-01-24,Arizona,390623.0,829500.0,332095.0,0.8,5.37,58291.0,4.56,11.4,29665.0,22706.0,3120.0,0.471
2021-01-25,Arizona,413662.0,829500.0,350648.0,0.86,5.68,62711.0,4.82,11.4,23039.0,23526.0,3232.0,0.499
2021-01-26,Arizona,430892.0,837200.0,366018.0,0.89,5.92,64551.0,5.03,11.5,17230.0,23517.0,3231.0,0.515
2021-01-27,Arizona,458258.0,990000.0,389059.0,0.95,6.3,68846.0,5.35,13.6,27366.0,25196.0,3462.0,0.463
2021-01-28,Arizona,487149.0,1011375.0,412841.0,1.02,6.69,73927.0,5.67,13.89,28891.0,26179.0,3597.0,0.482
2021-01-29,Arizona,521097.0,1012275.0,439897.0,1.11,7.16,80773.0,6.04,13.91,33948.0,27393.0,3763.0,0.515
2021-01-30,Arizona,557369.0,1013375.0,469916.0,1.2,7.66,86990.0,6.46,13.92,36272.0,28059.0,3855.0,0.55
2021-01-31,Arizona,594104.0,1013375.0,500942.0,1.27,8.16,92666.0,6.88,13.92,36735.0,29069.0,3994.0,0.586
2021-02-01,Arizona,620608.0,1013375.0,524413.0,1.31,8.53,95671.0,7.2,13.92,26504.0,29564.0,4062.0,0.612
2021-02-02,Arizona,631662.0,1082050.0,534476.0,1.33,8.68,96660.0,7.34,14.87,11054.0,28681.0,3940.0,0.584
2021-02-03,Arizona,656040.0,1181000.0,553373.0,1.4,9.01,102107.0,7.6,16.23,24378.0,28255.0,3882.0,0.555
2021-02-04,Arizona,686116.0,1185700.0,573845.0,1.53,9.43,111645.0,7.88,16.29,30076.0,28424.0,3905.0,0.579
2021-02-05,Arizona,719458.0,1186000.0,597525.0,1.67,9.88,121227.0,8.21,16.29,33342.0,28337.0,3893.0,0.607
2021-02-06,Arizona,766788.0,1186000.0,629750.0,1.87,10.53,136236.0,8.65,16.29,47330.0,29917.0,4110.0,0.647
2021-02-07,Arizona,809230.0,1186000.0,656909.0,2.08,11.12,151392.0,9.03,16.29,42442.0,30732.0,4222.0,0.682
2021-02-08,Arizona,841018.0,1186000.0,678697.0,2.22,11.55,161324.0,9.32,16.29,31788.0,31487.0,4326.0,0.709
2021-02-09,Arizona,863807.0,1265950.0,695970.0,2.29,11.87,166798.0,9.56,17.39,22789.0,33164.0,4556.0,0.682
2021-02-10,Arizona,897757.0,1370175.0,719051.0,2.44,12.33,177565.0,9.88,18.82,33950.0,34531.0,4744.0,0.655
2021-02-11,Arizona,941575.0,1391475.0,747599.0,2.65,12.94,192542.0,10.27,19.12,43818.0,36494.0,5014.0,0.677
2021-02-12,Arizona,990296.0,1393475.0,780057.0,2.86,13.61,207912.0,10.72,19.14,48721.0,38691.0,5316.0,0.711
2021-02-13,Arizona,1041021.0,1393475.0,811080.0,3.11,14.3,226158.0,11.14,19.14,50725.0,39176.0,5382.0,0.747
2021-02-14,Arizona,1089155.0,1393575.0,840252.0,3.37,14.96,244971.0,11.54,19.15,48134.0,39989.0,5494.0,0.782
2021-02-15,Arizona,,,,,,,,,32714.0,40122.0,5512.0,
2021-02-16,Arizona,1154583.0,1396475.0,886107.0,3.63,15.86,264416.0,12.17,19.19,32714.0,41539.0,5707.0,0.827
2021-02-17,Arizona,1164900.0,1396475.0,892791.0,3.68,16.0,267967.0,12.27,19.19,10317.0,38163.0,5243.0,0.834
2021-02-18,Arizona,1202770.0,1396475.0,914468.0,3.9,16.52,283955.0,12.56,19.19,37870.0,37314.0,5126.0,0.861
2021-02-19,Arizona,1376405.0,1679175.0,1036237.0,4.61,18.91,335248.0,14.24,23.07,173635.0,55158.0,7578.0,0.82
2021-02-20,Arizona,1425295.0,1688255.0,1064109.0,4.89,19.58,356055.0,14.62,23.19,48890.0,54896.0,7542.0,0.844
2021-02-21,Arizona,1469676.0,1688255.0,1087921.0,5.17,20.19,376371.0,14.95,23.19,44381.0,54360.0,7468.0,0.871
2021-02-22,Arizona,1506572.0,1688255.0,1083205.0,5.31,20.7,386775.0,14.88,23.19,36896.0,54958.0,7551.0,0.892
2021-02-23,Arizona,1525794.0,1755635.0,1095494.0,5.4,20.96,393019.0,15.05,24.12,19222.0,53030.0,7286.0,0.869
2021-02-24,Arizona,1555942.0,1977925.0,1110854.0,5.59,21.38,407127.0,15.26,27.17,30148.0,55863.0,7675.0,0.787
2021-02-25,Arizona,1607544.0,2064265.0,1136024.0,5.94,22.09,432137.0,15.61,28.36,51602.0,57825.0,7944.0,0.779
2021-02-26,Arizona,1671294.0,2143135.0,1168054.0,6.35,22.96,462074.0,16.05,29.44,63750.0,42127.0,5788.0,0.78
2021-02-27,Arizona,1728239.0,2148015.0,1195110.0,6.74,23.74,490688.0,16.42,29.51,56945.0,43278.0,5946.0,0.805
2021-02-28,Arizona,1792447.0,2148015.0,1220706.0,7.22,24.63,525426.0,16.77,29.51,64208.0,46110.0,6335.0,0.834
2021-03-01,Arizona,1849259.0,2148015.0,1244879.0,7.64,25.41,555881.0,17.1,29.51,56812.0,48955.0,6726.0,0.861
2021-03-02,Arizona,1889742.0,2244885.0,1262868.0,7.91,25.96,575562.0,17.35,30.84,40483.0,51993.0,7143.0,0.842
